complaint_id,filed_time,fraud_type,amount,victim_district
CYB-2026-10348,2026-09-27T09:10:00,SIM-Swap,120000,Mumbai Suburban
CYB-2026-10349,2026-09-04T01:09:00,SIM-Swap,5000,Hyderabad
CYB-2026-10350,2026-09-27T13:15:00,Job Fraud,120000,Hyderabad
CYB-2026-10351,2026-09-05T07:31:00,Investment Fraud,2000,Nagpur
CYB-2026-10352,2026-09-09T03:24:00,SIM-Swap,120000,Pune
CYB-2026-10353,2026-09-30T18:12:00,OTP Fraud,2000,Pune
CYB-2026-10354,2026-09-21T17:34:00,Job Fraud,75000,Ahmedabad
CYB-2026-10355,2026-09-27T11:31:00,Job Fraud,48000,South Delhi
CYB-2026-10356,2026-09-22T09:50:00,Investment Fraud,250000,Mumbai City
CYB-2026-10357,2026-09-14T09:53:00,Investment Fraud,8000,South Delhi
CYB-2026-10358,2026-09-12T17:18:00,Investment Fraud,8000,Nagpur
CYB-2026-10359,2026-09-05T02:11:00,Investment Fraud,8000,Nagpur
CYB-2026-10360,2026-09-19T09:32:00,Romance Scam,120000,Jaipur
CYB-2026-10361,2026-09-05T16:20:00,OTP Fraud,250000,Ahmedabad
CYB-2026-10362,2026-09-24T21:55:00,Loan-App Fraud,48000,Bengaluru Urban
CYB-2026-10363,2026-09-05T10:25:00,Job Fraud,2000,Nagpur
CYB-2026-10364,2026-09-09T15:15:00,SIM-Swap,25000,Jaipur
CYB-2026-10365,2026-09-13T20:52:00,OTP Fraud,2000,Patna
CYB-2026-10366,2026-09-06T04:26:00,Romance Scam,8000,Indore
CYB-2026-10367,2026-09-19T00:30:00,OTP Fraud,25000,Pune
CYB-2026-10368,2026-09-23T04:32:00,SIM-Swap,5000,Surat
CYB-2026-10369,2026-09-03T00:57:00,Job Fraud,75000,Hyderabad
CYB-2026-10370,2026-09-02T09:42:00,Loan-App Fraud,15000,Kochi
CYB-2026-10371,2026-09-25T01:23:00,SIM-Swap,120000,Indore
CYB-2026-10372,2026-09-03T08:01:00,Job Fraud,15000,Pune
CYB-2026-10373,2026-09-06T02:08:00,OTP Fraud,5000,Kochi
CYB-2026-10374,2026-09-15T21:15:00,Loan-App Fraud,15000,South Delhi
CYB-2026-10375,2026-09-07T07:40:00,OTP Fraud,5000,Nagpur
CYB-2026-10376,2026-09-30T08:51:00,Loan-App Fraud,25000,Guwahati
CYB-2026-10377,2026-09-06T14:20:00,Loan-App Fraud,250000,Mumbai Suburban
CYB-2026-10378,2026-09-03T05:05:00,SIM-Swap,2000,Ahmedabad
CYB-2026-10379,2026-09-24T16:24:00,Romance Scam,5000,Mumbai City
CYB-2026-10380,2026-09-10T08:24:00,Romance Scam,75000,Chennai
CYB-2026-10381,2026-09-10T02:04:00,SIM-Swap,48000,Kolkata
CYB-2026-10382,2026-09-11T06:08:00,Investment Fraud,25000,Nagpur
CYB-2026-10383,2026-09-12T12:41:00,Loan-App Fraud,48000,Bhopal
CYB-2026-10384,2026-09-20T14:58:00,OTP Fraud,250000,Patna
CYB-2026-10385,2026-09-30T17:23:00,Loan-App Fraud,5000,Central Delhi
CYB-2026-10386,2026-09-01T07:29:00,SIM-Swap,5000,Patna
CYB-2026-10387,2026-09-17T19:34:00,Job Fraud,2000,Mumbai Suburban
CYB-2026-10388,2026-09-23T00:38:00,SIM-Swap,15000,Chennai
CYB-2026-10389,2026-09-25T12:01:00,SIM-Swap,25000,Chandigarh
CYB-2026-10390,2026-09-06T08:21:00,Investment Fraud,8000,Kochi
CYB-2026-10391,2026-09-24T21:33:00,Loan-App Fraud,48000,Bhopal
CYB-2026-10392,2026-09-03T09:41:00,Investment Fraud,8000,Ahmedabad
CYB-2026-10393,2026-09-26T20:23:00,Loan-App Fraud,2000,Lucknow
CYB-2026-10394,2026-09-16T07:50:00,Job Fraud,25000,Kochi
CYB-2026-10395,2026-09-15T06:30:00,OTP Fraud,2000,Patna
CYB-2026-10396,2026-09-25T18:05:00,OTP Fraud,120000,Mumbai City
CYB-2026-10397,2026-09-17T05:46:00,Investment Fraud,25000,Chandigarh
CYB-2026-10398,2026-09-18T08:26:00,Job Fraud,5000,Central Delhi
CYB-2026-10399,2026-09-27T21:12:00,Investment Fraud,25000,Kochi
CYB-2026-10400,2026-09-23T02:49:00,Job Fraud,75000,Kolkata
CYB-2026-10401,2026-09-20T08:13:00,Investment Fraud,48000,South Delhi
CYB-2026-10402,2026-09-07T18:58:00,Investment Fraud,2000,Pune
CYB-2026-10403,2026-09-07T13:50:00,Investment Fraud,120000,Nagpur
CYB-2026-10404,2026-09-10T04:28:00,OTP Fraud,5000,South Delhi
CYB-2026-10405,2026-09-27T23:49:00,Loan-App Fraud,15000,Bengaluru Urban
CYB-2026-10406,2026-09-14T01:51:00,Loan-App Fraud,8000,Indore
CYB-2026-10407,2026-09-17T09:33:00,Loan-App Fraud,75000,Bhopal
CYB-2026-10408,2026-09-03T02:21:00,Job Fraud,5000,Lucknow
CYB-2026-10409,2026-09-17T23:20:00,Romance Scam,8000,Central Delhi
CYB-2026-10410,2026-09-06T20:05:00,Romance Scam,15000,Bhopal
CYB-2026-10411,2026-09-29T20:20:00,Loan-App Fraud,8000,Central Delhi
CYB-2026-10412,2026-09-04T17:34:00,OTP Fraud,250000,Kochi
CYB-2026-10413,2026-09-18T17:01:00,OTP Fraud,120000,Lucknow
CYB-2026-10414,2026-09-23T10:25:00,Romance Scam,5000,Surat
CYB-2026-10415,2026-09-17T22:13:00,Loan-App Fraud,48000,Surat
CYB-2026-10416,2026-09-30T17:52:00,Loan-App Fraud,25000,Surat
CYB-2026-10417,2026-09-13T09:13:00,Romance Scam,2000,Kochi
CYB-2026-10418,2026-09-25T15:16:00,OTP Fraud,15000,Jaipur
CYB-2026-10419,2026-09-22T21:07:00,Job Fraud,75000,Hyderabad
CYB-2026-10420,2026-09-21T21:02:00,Job Fraud,250000,Bengaluru Urban
CYB-2026-10421,2026-09-20T23:44:00,Job Fraud,2000,Guwahati
CYB-2026-10422,2026-09-30T02:25:00,OTP Fraud,15000,Bhopal
CYB-2026-10423,2026-09-22T08:59:00,Investment Fraud,120000,Indore
CYB-2026-10424,2026-09-19T18:33:00,OTP Fraud,48000,Mumbai City
CYB-2026-10425,2026-09-16T05:40:00,Investment Fraud,75000,Chennai
CYB-2026-10426,2026-09-17T18:29:00,Loan-App Fraud,120000,Ahmedabad
CYB-2026-10427,2026-09-21T09:13:00,Loan-App Fraud,75000,Central Delhi
CYB-2026-10428,2026-09-04T21:29:00,Investment Fraud,120000,Kochi
CYB-2026-10429,2026-09-07T10:38:00,SIM-Swap,2000,Patna
CYB-2026-10430,2026-09-21T19:08:00,Investment Fraud,120000,Pune
CYB-2026-10431,2026-09-22T07:05:00,OTP Fraud,15000,Kolkata
CYB-2026-10432,2026-09-21T01:18:00,Job Fraud,120000,Kochi
CYB-2026-10433,2026-09-28T13:27:00,Loan-App Fraud,15000,Jaipur
CYB-2026-10434,2026-09-15T23:04:00,Loan-App Fraud,75000,Hyderabad
CYB-2026-10435,2026-09-01T11:51:00,OTP Fraud,25000,Guwahati
CYB-2026-10436,2026-09-07T06:05:00,Romance Scam,5000,Lucknow
CYB-2026-10437,2026-09-15T14:39:00,Loan-App Fraud,120000,Pune
CYB-2026-10438,2026-09-23T07:58:00,Job Fraud,120000,Kochi
CYB-2026-10439,2026-09-24T09:40:00,SIM-Swap,25000,Surat
CYB-2026-10440,2026-09-02T10:21:00,Investment Fraud,25000,Mumbai Suburban
CYB-2026-10441,2026-09-07T03:15:00,Job Fraud,15000,South Delhi
CYB-2026-10442,2026-09-14T05:13:00,Romance Scam,8000,Mumbai Suburban
CYB-2026-10443,2026-09-20T12:06:00,Job Fraud,5000,Bhopal
CYB-2026-10444,2026-09-25T03:05:00,SIM-Swap,5000,Jaipur
CYB-2026-10445,2026-09-03T07:15:00,OTP Fraud,250000,Mumbai Suburban
CYB-2026-10446,2026-09-03T07:26:00,Romance Scam,5000,Bhopal
CYB-2026-10447,2026-09-01T20:31:00,OTP Fraud,8000,Kochi
CYB-2026-10448,2026-09-06T08:14:00,Loan-App Fraud,2000,Hyderabad
CYB-2026-10449,2026-09-08T04:29:00,Loan-App Fraud,120000,Kochi
CYB-2026-10450,2026-09-02T22:25:00,Investment Fraud,120000,Patna
CYB-2026-10451,2026-09-21T02:28:00,SIM-Swap,2000,Bengaluru Urban
CYB-2026-10452,2026-09-14T14:27:00,Loan-App Fraud,75000,Bhopal
CYB-2026-10453,2026-09-15T01:40:00,Romance Scam,15000,Hyderabad
CYB-2026-10454,2026-09-17T10:01:00,Investment Fraud,2000,Indore
CYB-2026-10455,2026-09-17T17:00:00,Loan-App Fraud,8000,Jaipur
CYB-2026-10456,2026-09-16T18:48:00,Romance Scam,25000,Guwahati
CYB-2026-10457,2026-09-19T21:04:00,Romance Scam,120000,Guwahati
CYB-2026-10458,2026-09-24T21:44:00,SIM-Swap,25000,Bhopal
CYB-2026-10459,2026-09-10T14:03:00,SIM-Swap,250000,Nagpur
CYB-2026-10460,2026-09-24T22:29:00,Loan-App Fraud,250000,Jaipur
CYB-2026-10461,2026-09-20T11:45:00,Investment Fraud,250000,Mumbai Suburban
CYB-2026-10462,2026-09-21T22:13:00,Investment Fraud,5000,Pune
CYB-2026-10463,2026-09-23T12:42:00,SIM-Swap,75000,Bengaluru Urban
CYB-2026-10464,2026-09-02T17:36:00,Romance Scam,8000,Indore
CYB-2026-10465,2026-09-07T17:15:00,Loan-App Fraud,75000,South Delhi
CYB-2026-10466,2026-09-18T10:07:00,Investment Fraud,120000,Nagpur
CYB-2026-10467,2026-09-21T09:58:00,OTP Fraud,25000,Mumbai City
CYB-2026-10468,2026-09-27T12:04:00,Job Fraud,2000,Surat
CYB-2026-10469,2026-09-15T19:59:00,Job Fraud,75000,Surat
CYB-2026-10470,2026-09-05T09:25:00,Investment Fraud,5000,Mumbai Suburban
CYB-2026-10471,2026-09-03T14:39:00,OTP Fraud,15000,Chennai
CYB-2026-10472,2026-09-23T06:50:00,OTP Fraud,2000,Bhopal
CYB-2026-10473,2026-09-15T02:43:00,Loan-App Fraud,75000,Chandigarh
CYB-2026-10474,2026-09-21T19:25:00,Job Fraud,2000,Central Delhi
CYB-2026-10475,2026-09-30T00:32:00,Investment Fraud,15000,Surat
CYB-2026-10476,2026-09-10T20:03:00,Investment Fraud,120000,Nagpur
CYB-2026-10477,2026-09-17T07:33:00,OTP Fraud,75000,Nagpur
CYB-2026-10478,2026-09-09T23:10:00,Investment Fraud,5000,Nagpur
CYB-2026-10479,2026-09-13T01:34:00,Loan-App Fraud,15000,Guwahati
CYB-2026-10480,2026-09-13T17:19:00,Romance Scam,5000,Guwahati
CYB-2026-10481,2026-09-11T12:26:00,OTP Fraud,75000,Mumbai City
CYB-2026-10482,2026-09-29T18:05:00,Job Fraud,48000,Kolkata
CYB-2026-10483,2026-09-29T10:43:00,Job Fraud,120000,Mumbai Suburban
CYB-2026-10484,2026-09-04T05:51:00,Romance Scam,5000,South Delhi
CYB-2026-10485,2026-09-21T21:58:00,OTP Fraud,250000,Lucknow
CYB-2026-10486,2026-09-29T12:08:00,Romance Scam,120000,Bengaluru Urban
CYB-2026-10487,2026-09-07T23:00:00,Loan-App Fraud,120000,Jaipur
CYB-2026-10488,2026-09-22T12:31:00,Romance Scam,48000,Surat
CYB-2026-10489,2026-09-16T08:06:00,Romance Scam,75000,Hyderabad
CYB-2026-10490,2026-09-11T05:08:00,Loan-App Fraud,25000,Bengaluru Urban
CYB-2026-10491,2026-09-18T04:42:00,Investment Fraud,8000,Guwahati
CYB-2026-10492,2026-09-07T00:07:00,Investment Fraud,250000,Surat
CYB-2026-10493,2026-09-22T19:28:00,Romance Scam,25000,Surat
CYB-2026-10494,2026-09-07T08:43:00,OTP Fraud,5000,Jaipur
CYB-2026-10495,2026-09-13T16:12:00,Investment Fraud,75000,Central Delhi
CYB-2026-10496,2026-09-10T08:47:00,Job Fraud,48000,Hyderabad
CYB-2026-10497,2026-10-01T01:46:00,Job Fraud,2000,Kochi
CYB-2026-10498,2026-09-16T18:05:00,Romance Scam,5000,Lucknow
CYB-2026-10499,2026-09-17T09:23:00,SIM-Swap,48000,Chennai
CYB-2026-10500,2026-09-27T02:36:00,Investment Fraud,75000,Patna
CYB-2026-10501,2026-09-28T17:02:00,SIM-Swap,120000,Central Delhi
CYB-2026-10502,2026-09-18T00:39:00,OTP Fraud,250000,Central Delhi
CYB-2026-10503,2026-09-18T22:53:00,OTP Fraud,15000,Pune
CYB-2026-10504,2026-09-10T10:18:00,Investment Fraud,2000,Pune
CYB-2026-10505,2026-09-29T08:43:00,Loan-App Fraud,75000,Chandigarh
CYB-2026-10506,2026-09-11T03:18:00,SIM-Swap,120000,Bhopal
CYB-2026-10507,2026-09-03T06:45:00,Job Fraud,120000,Central Delhi
CYB-2026-10508,2026-09-06T11:15:00,Investment Fraud,8000,Lucknow
CYB-2026-10509,2026-09-01T18:14:00,SIM-Swap,25000,Pune
CYB-2026-10510,2026-09-05T22:16:00,SIM-Swap,75000,Jaipur
CYB-2026-10511,2026-09-16T14:13:00,OTP Fraud,15000,Mumbai City
CYB-2026-10512,2026-09-26T19:54:00,Investment Fraud,15000,Nagpur
CYB-2026-10513,2026-10-01T04:40:00,OTP Fraud,25000,Nagpur
CYB-2026-10514,2026-09-18T22:25:00,SIM-Swap,8000,Lucknow
CYB-2026-10515,2026-09-21T16:19:00,Job Fraud,75000,Guwahati
CYB-2026-10516,2026-09-10T10:39:00,Investment Fraud,8000,Patna
CYB-2026-10517,2026-09-16T07:50:00,Loan-App Fraud,48000,Chennai
CYB-2026-10518,2026-09-04T04:34:00,OTP Fraud,120000,Mumbai City
CYB-2026-10519,2026-09-22T12:10:00,Romance Scam,25000,Bengaluru Urban
CYB-2026-10520,2026-09-24T05:54:00,Romance Scam,75000,Pune
CYB-2026-10521,2026-09-23T03:12:00,Job Fraud,5000,Lucknow
CYB-2026-10522,2026-09-19T15:52:00,Romance Scam,75000,Patna
CYB-2026-10523,2026-09-23T11:42:00,SIM-Swap,48000,South Delhi
CYB-2026-10524,2026-09-07T22:57:00,SIM-Swap,25000,Chennai
CYB-2026-10525,2026-09-20T16:15:00,Loan-App Fraud,25000,Jaipur
CYB-2026-10526,2026-09-01T13:00:00,Investment Fraud,8000,Kochi
CYB-2026-10527,2026-09-27T01:24:00,Romance Scam,15000,Bengaluru Urban
CYB-2026-10528,2026-09-06T22:11:00,Romance Scam,25000,Mumbai City
CYB-2026-10529,2026-09-23T08:45:00,Investment Fraud,120000,Lucknow
CYB-2026-10530,2026-09-13T23:15:00,Job Fraud,15000,Ahmedabad
CYB-2026-10531,2026-09-16T01:33:00,OTP Fraud,120000,Chennai
CYB-2026-10532,2026-09-24T22:02:00,Loan-App Fraud,250000,South Delhi
CYB-2026-10533,2026-09-10T21:10:00,Loan-App Fraud,8000,Mumbai City
CYB-2026-10534,2026-09-06T20:27:00,SIM-Swap,8000,Indore
CYB-2026-10535,2026-09-21T03:16:00,Job Fraud,15000,Chennai
CYB-2026-10536,2026-09-27T12:08:00,Romance Scam,2000,Jaipur
CYB-2026-10537,2026-09-19T05:47:00,OTP Fraud,2000,Indore
CYB-2026-10538,2026-09-06T20:51:00,Job Fraud,25000,Surat
CYB-2026-10539,2026-09-11T11:50:00,SIM-Swap,2000,Bengaluru Urban
CYB-2026-10540,2026-09-14T03:09:00,Job Fraud,25000,Hyderabad
CYB-2026-10541,2026-09-07T20:11:00,Investment Fraud,15000,Hyderabad
CYB-2026-10542,2026-09-20T23:50:00,Job Fraud,8000,Patna
CYB-2026-10543,2026-10-01T05:16:00,SIM-Swap,5000,Chandigarh
CYB-2026-10544,2026-09-27T07:27:00,Job Fraud,120000,Kolkata
CYB-2026-10545,2026-09-19T04:07:00,OTP Fraud,250000,Indore
CYB-2026-10546,2026-09-03T00:45:00,OTP Fraud,8000,Surat
CYB-2026-10547,2026-09-09T01:26:00,Job Fraud,75000,Central Delhi
CYB-2026-10548,2026-09-17T06:36:00,Job Fraud,250000,Guwahati
CYB-2026-10549,2026-09-26T09:00:00,Job Fraud,15000,Surat
CYB-2026-10550,2026-09-20T14:35:00,SIM-Swap,8000,Indore
CYB-2026-10551,2026-09-15T15:32:00,Loan-App Fraud,75000,Patna
CYB-2026-10552,2026-09-13T16:27:00,Investment Fraud,8000,Chennai
CYB-2026-10553,2026-09-05T18:12:00,Job Fraud,2000,Bengaluru Urban
CYB-2026-10554,2026-10-01T04:14:00,Loan-App Fraud,8000,Pune
CYB-2026-10555,2026-09-20T17:14:00,Investment Fraud,250000,Chennai
CYB-2026-10556,2026-09-24T09:37:00,Romance Scam,8000,Kochi
CYB-2026-10557,2026-09-28T23:24:00,Job Fraud,2000,Nagpur
CYB-2026-10558,2026-09-16T15:08:00,OTP Fraud,15000,Indore
CYB-2026-10559,2026-09-24T17:05:00,SIM-Swap,2000,Chandigarh
CYB-2026-10560,2026-09-23T15:26:00,Romance Scam,15000,Mumbai City
CYB-2026-10561,2026-10-01T02:49:00,Romance Scam,120000,Bengaluru Urban
CYB-2026-10562,2026-09-02T16:31:00,Investment Fraud,8000,Hyderabad
CYB-2026-10563,2026-09-08T07:53:00,Loan-App Fraud,48000,Guwahati
CYB-2026-10564,2026-09-20T18:31:00,OTP Fraud,15000,Nagpur
CYB-2026-10565,2026-09-10T06:43:00,Romance Scam,120000,Mumbai Suburban
CYB-2026-10566,2026-09-15T04:43:00,Job Fraud,15000,Chennai
CYB-2026-10567,2026-09-09T12:31:00,OTP Fraud,2000,Central Delhi
CYB-2026-10568,2026-09-17T19:07:00,Romance Scam,48000,Jaipur
CYB-2026-10569,2026-09-10T19:24:00,Investment Fraud,75000,Mumbai City
CYB-2026-10570,2026-09-09T23:23:00,Loan-App Fraud,75000,Indore
CYB-2026-10571,2026-09-07T02:49:00,SIM-Swap,25000,South Delhi
CYB-2026-10572,2026-09-08T18:47:00,OTP Fraud,120000,Guwahati
CYB-2026-10573,2026-09-25T03:31:00,SIM-Swap,25000,Jaipur
CYB-2026-10574,2026-09-13T21:23:00,Loan-App Fraud,8000,Kolkata
CYB-2026-10575,2026-09-07T07:56:00,Investment Fraud,75000,Nagpur
CYB-2026-10576,2026-09-11T06:59:00,Romance Scam,48000,Kolkata
CYB-2026-10577,2026-09-09T20:17:00,Loan-App Fraud,120000,Bengaluru Urban
CYB-2026-10578,2026-09-01T18:52:00,SIM-Swap,5000,Patna
CYB-2026-10579,2026-09-25T22:24:00,OTP Fraud,48000,Mumbai City
CYB-2026-10580,2026-09-13T10:08:00,Job Fraud,250000,Mumbai Suburban
CYB-2026-10581,2026-09-18T18:56:00,Romance Scam,8000,Ahmedabad
CYB-2026-10582,2026-09-20T18:10:00,Loan-App Fraud,250000,Lucknow
CYB-2026-10583,2026-09-04T17:24:00,Investment Fraud,2000,Pune
CYB-2026-10584,2026-09-30T05:20:00,Job Fraud,48000,Pune
CYB-2026-10585,2026-09-11T05:34:00,SIM-Swap,5000,Chennai
CYB-2026-10586,2026-09-26T08:23:00,Loan-App Fraud,75000,Chennai
CYB-2026-10587,2026-09-04T14:34:00,Job Fraud,120000,Nagpur
CYB-2026-10588,2026-09-22T15:06:00,Loan-App Fraud,8000,Guwahati
CYB-2026-10589,2026-09-20T12:42:00,Romance Scam,120000,Indore
CYB-2026-10590,2026-09-28T18:54:00,Job Fraud,5000,Chandigarh
CYB-2026-10591,2026-09-28T16:50:00,Investment Fraud,48000,Central Delhi
CYB-2026-10592,2026-09-03T07:53:00,Romance Scam,2000,Lucknow
CYB-2026-10593,2026-09-16T07:53:00,OTP Fraud,75000,Guwahati
CYB-2026-10594,2026-09-22T07:50:00,Loan-App Fraud,5000,Mumbai City
CYB-2026-10595,2026-09-03T01:42:00,Romance Scam,75000,Chennai
CYB-2026-10596,2026-09-23T22:56:00,OTP Fraud,5000,Chandigarh
CYB-2026-10597,2026-09-30T20:17:00,Romance Scam,8000,Mumbai Suburban
CYB-2026-10598,2026-09-26T18:32:00,Loan-App Fraud,2000,Pune
CYB-2026-10599,2026-09-06T05:11:00,Romance Scam,5000,Bengaluru Urban
CYB-2026-10600,2026-09-30T09:17:00,Loan-App Fraud,15000,Lucknow
CYB-2026-10601,2026-09-20T11:56:00,SIM-Swap,25000,Kolkata
CYB-2026-10602,2026-09-13T01:23:00,SIM-Swap,8000,South Delhi
CYB-2026-10603,2026-09-22T21:22:00,Romance Scam,250000,Bengaluru Urban
CYB-2026-10604,2026-09-19T17:52:00,SIM-Swap,25000,Guwahati
CYB-2026-10605,2026-09-20T08:56:00,Loan-App Fraud,250000,Bengaluru Urban
CYB-2026-10606,2026-09-22T00:04:00,SIM-Swap,75000,Bhopal
CYB-2026-10607,2026-09-08T15:39:00,Job Fraud,250000,Bhopal
CYB-2026-10608,2026-09-05T23:14:00,Romance Scam,120000,Nagpur
CYB-2026-10609,2026-09-19T06:19:00,SIM-Swap,2000,Ahmedabad
CYB-2026-10610,2026-09-02T17:41:00,Romance Scam,2000,Central Delhi
CYB-2026-10611,2026-09-27T13:10:00,OTP Fraud,75000,Pune
CYB-2026-10612,2026-09-29T19:11:00,Romance Scam,25000,Indore
CYB-2026-10613,2026-09-21T21:34:00,Loan-App Fraud,48000,Bengaluru Urban
CYB-2026-10614,2026-09-07T19:02:00,OTP Fraud,2000,Surat
CYB-2026-10615,2026-09-10T17:09:00,Investment Fraud,75000,Mumbai Suburban
CYB-2026-10616,2026-09-28T20:37:00,SIM-Swap,2000,Mumbai Suburban
CYB-2026-10617,2026-09-08T04:24:00,Job Fraud,15000,Ahmedabad
CYB-2026-10618,2026-09-17T02:42:00,OTP Fraud,250000,Jaipur
CYB-2026-10619,2026-09-15T10:20:00,Job Fraud,8000,Hyderabad
CYB-2026-10620,2026-09-21T16:52:00,OTP Fraud,8000,South Delhi
CYB-2026-10621,2026-09-18T03:57:00,SIM-Swap,48000,Pune
CYB-2026-10622,2026-09-10T21:45:00,Job Fraud,250000,Hyderabad
CYB-2026-10623,2026-09-10T06:25:00,Investment Fraud,15000,South Delhi
CYB-2026-10624,2026-09-03T00:43:00,Job Fraud,48000,Central Delhi
CYB-2026-10625,2026-09-23T17:22:00,Investment Fraud,2000,Patna
CYB-2026-10626,2026-09-09T22:47:00,OTP Fraud,48000,Indore
CYB-2026-10627,2026-09-29T03:17:00,Investment Fraud,75000,Kolkata
CYB-2026-10628,2026-09-05T00:26:00,Investment Fraud,48000,Indore
CYB-2026-10629,2026-09-25T06:19:00,Job Fraud,250000,Lucknow
CYB-2026-10630,2026-09-09T19:17:00,Romance Scam,5000,Kolkata
CYB-2026-10631,2026-09-17T06:25:00,Romance Scam,25000,Mumbai Suburban
CYB-2026-10632,2026-09-23T17:09:00,Job Fraud,250000,Bhopal
CYB-2026-10633,2026-09-04T05:55:00,Loan-App Fraud,250000,Mumbai Suburban
CYB-2026-10634,2026-09-28T09:19:00,SIM-Swap,25000,Central Delhi
CYB-2026-10635,2026-09-09T18:37:00,Loan-App Fraud,48000,Chandigarh
CYB-2026-10636,2026-09-27T18:57:00,Romance Scam,2000,Kochi
CYB-2026-10637,2026-09-16T12:38:00,SIM-Swap,120000,Kochi
CYB-2026-10638,2026-09-23T07:02:00,Job Fraud,5000,Kolkata
CYB-2026-10639,2026-09-10T15:20:00,Investment Fraud,5000,Hyderabad
CYB-2026-10640,2026-09-27T14:59:00,OTP Fraud,250000,Lucknow
CYB-2026-10641,2026-09-14T10:31:00,Job Fraud,250000,Bengaluru Urban
CYB-2026-10642,2026-09-01T06:42:00,Investment Fraud,2000,Kolkata
CYB-2026-10643,2026-09-12T13:40:00,Investment Fraud,75000,Bhopal
CYB-2026-10644,2026-09-27T00:56:00,Investment Fraud,120000,Indore
CYB-2026-10645,2026-09-02T10:51:00,Job Fraud,75000,Mumbai City
CYB-2026-10646,2026-09-03T16:28:00,Investment Fraud,75000,Pune
CYB-2026-10647,2026-09-03T15:54:00,Job Fraud,15000,Guwahati
CYB-2026-10648,2026-09-01T13:02:00,Investment Fraud,120000,Nagpur
CYB-2026-10649,2026-09-13T02:17:00,Job Fraud,120000,Nagpur
CYB-2026-10650,2026-09-10T08:50:00,Job Fraud,120000,Kochi
CYB-2026-10651,2026-09-22T01:15:00,Investment Fraud,5000,Surat
CYB-2026-10652,2026-10-01T02:26:00,Loan-App Fraud,8000,Ahmedabad
CYB-2026-10653,2026-10-01T05:42:00,Job Fraud,250000,Kolkata
CYB-2026-10654,2026-09-11T19:04:00,Loan-App Fraud,5000,Mumbai Suburban
CYB-2026-10655,2026-09-02T22:52:00,OTP Fraud,5000,Chandigarh
CYB-2026-10656,2026-09-23T14:24:00,Investment Fraud,120000,Jaipur
CYB-2026-10657,2026-09-16T18:08:00,OTP Fraud,8000,Guwahati
CYB-2026-10658,2026-09-24T18:58:00,Loan-App Fraud,25000,Mumbai Suburban
CYB-2026-10659,2026-09-12T05:40:00,Job Fraud,250000,Nagpur
CYB-2026-10660,2026-09-07T14:08:00,OTP Fraud,15000,Indore
CYB-2026-10661,2026-09-13T13:28:00,Loan-App Fraud,2000,Mumbai Suburban
CYB-2026-10662,2026-09-02T01:45:00,Romance Scam,250000,Kochi
CYB-2026-10663,2026-09-12T02:08:00,OTP Fraud,15000,Mumbai City
CYB-2026-10664,2026-09-09T11:15:00,Romance Scam,25000,South Delhi
CYB-2026-10665,2026-09-11T06:36:00,Investment Fraud,120000,Jaipur
CYB-2026-10666,2026-09-10T20:12:00,Job Fraud,5000,Ahmedabad
CYB-2026-10667,2026-09-03T23:13:00,OTP Fraud,25000,Nagpur
CYB-2026-10668,2026-09-25T21:30:00,OTP Fraud,48000,Central Delhi
CYB-2026-10669,2026-09-06T05:17:00,OTP Fraud,250000,Patna
CYB-2026-10670,2026-09-13T17:42:00,Investment Fraud,5000,Chennai
CYB-2026-10671,2026-09-23T02:30:00,Investment Fraud,250000,Hyderabad
CYB-2026-10672,2026-10-01T00:59:00,OTP Fraud,2000,Bengaluru Urban
CYB-2026-10673,2026-09-04T18:37:00,OTP Fraud,250000,Chandigarh
CYB-2026-10674,2026-09-07T18:16:00,Investment Fraud,2000,Lucknow
CYB-2026-10675,2026-09-27T17:08:00,Job Fraud,48000,Hyderabad
CYB-2026-10676,2026-09-20T06:39:00,SIM-Swap,250000,Mumbai Suburban
CYB-2026-10677,2026-09-11T18:11:00,Investment Fraud,120000,Lucknow
CYB-2026-10678,2026-09-07T12:53:00,SIM-Swap,25000,Jaipur
CYB-2026-10679,2026-09-13T05:40:00,Romance Scam,250000,Kochi
CYB-2026-10680,2026-09-28T04:03:00,Investment Fraud,5000,South Delhi
CYB-2026-10681,2026-09-05T01:31:00,Job Fraud,8000,Central Delhi
CYB-2026-10682,2026-09-24T19:26:00,Job Fraud,250000,Surat
CYB-2026-10683,2026-09-14T05:04:00,Investment Fraud,8000,Mumbai Suburban
CYB-2026-10684,2026-09-25T19:38:00,OTP Fraud,250000,Hyderabad
CYB-2026-10685,2026-09-14T16:09:00,Romance Scam,5000,Mumbai Suburban
CYB-2026-10686,2026-09-21T21:18:00,Investment Fraud,250000,Mumbai City
CYB-2026-10687,2026-09-09T18:22:00,Romance Scam,120000,Jaipur
CYB-2026-10688,2026-09-03T00:23:00,Loan-App Fraud,75000,Kolkata
CYB-2026-10689,2026-09-25T23:33:00,Investment Fraud,120000,Jaipur
CYB-2026-10690,2026-09-07T01:52:00,SIM-Swap,120000,Kochi
CYB-2026-10691,2026-09-20T14:25:00,Romance Scam,75000,Kolkata
CYB-2026-10692,2026-09-06T06:29:00,SIM-Swap,48000,Pune
CYB-2026-10693,2026-09-24T20:30:00,OTP Fraud,15000,Ahmedabad
CYB-2026-10694,2026-09-20T01:32:00,Investment Fraud,15000,Indore
